81.98718119198595, 290.66221643040495
81.66591314060553, 197.77160181909497
131.8677694742139, 180.8874763968994
131.96776681471107, 111.45607829578768
181.61751017259968, 176.32616153825225
181.07390760883897, 108.55429376878058
281.58187282252965, 155.59160660620324
281.3744315310751, 106.53971968830399
380.8079572351781, 168.74418233557168
380.6728544453593, 123.7206457275044
480.0638280896765, 183.55549054545912
480.6021116459655, 138.53115608627093
630.8513071460848, 180.53323049918384
630.8821573894297, 144.75120342543715
